year,cp,name,population,mayor,menor,percentagemayor,percentagemenor
2018,50001,Abanto,97,48.45,07.21,10,10
2018,50002,Acered,165,43.63,06.66,20,20
2018,50003,Agón,146,33.56,10.95,30,30
2018,50004,Aguarón,631,30.58,09.50,40,40
2018,50005,Aguilón,235,43.82,03.40,50,50
2018,50006,Ainzón,1085,24.51,14.47,60,60
2018,50007,Aladrén,52,40.38,05.76,70,70
2018,50008,Alagón,7094,17.70,18.88
2018,50009,Alarba,133,34.58,09.02
2018,50010,Alberite de San Juan,72,38.88,04.16
2018,50011,Albeta,132,24.24,12.87
2018,50012,Alborge,108,30.55,09.25
2018,50013,Alcalá de Ebro,251,30.27,13.94
2018,50014,Alcalá de Moncayo,144,34.02,09.72
2018,50015,Alconchel de Ariza,63,61.90,0
2018,50016,Aldehuela de Liestos,49,44.89,02.04
2018,50017,Alfajarín,2312,18.29,19.89
2018,50018,Alfamén,1441,18.94,16.86
2018,50019,Alforque,62,35.48,04.83
2018,50020,Alhama de Aragón,1036,25.09,16.50
2018,50021,Almochuel,29,44.82,0
2018,50022,La Almolda,567,33.50,08.46
2018,50023,Almonacid de la Cuba,252,38.88,13.09
2018,50024,Almonacid de la Sierra,691,31.40,11.14
2018,50025,La Almunia de Doña Godina,7819,15.65,20.87
2018,50026,Alpartir,579,28.67,14.68
2018,50027,Ambel,256,37.50,10.54
2018,50028,Anento,95,15.78,12.63
2018,50029,Aniñón,708,39.26,08.61
2018,50030,Añón de Moncayo,213,40.84,07.04
2018,50031,Aranda de Moncayo,160,35.62,03.75
2018,50032,Arándiga,309,42.39,08.09
2018,50033,Ardisa,72,55.55,01.38
2018,50034,Ariza,1139,29.67,18.52
2018,50035,Artieda,73,31.50,09.58
2018,50036,Asín,96,41.66,01.04
2018,50037,Atea,156,41.02,10.25
2018,50038,Ateca,1793,27.04,11.71
2018,50039,Azuara,543,33.88,08.83
2018,50040,Badules,83,43.37,04.81
2018,50041,Bagüés,12,41.66,0
2018,50042,Balconchán,17,41.17,0
2018,50043,Bárboles,300,25.33,14.66
2018,50044,Bardallur,261,30.26,09.57
2018,50045,Belchite,1528,29.90,15.11
2018,50046,Belmonte de Gracián,198,46.46,08.58
2018,50047,Berdejo,47,38.29,08.51
2018,50048,Berrueco,33,42.42,03.03
2018,50050,Bijuesca,98,29.59,02.04
2018,50051,Biota,948,30.90,13.39
2018,50052,Bisimbre,97,43.29,05.15
2018,50053,Boquiñeni,808,28.71,11.26
2018,50054,Bordalba,56,50.00,0
2018,50055,Borja,4922,20.09,20.60
2018,50056,Botorrita,498,23.49,13.25
2018,50057,Brea de Aragón,1665,25.28,15.19
2018,50058,Bubierca,63,34.92,03.17
2018,50059,Bujaraloz,1005,25.37,17.11
2018,50060,Bulbuente,217,25.80,11.52
2018,50061,Bureta,217,38.70,05.99
2018,50062,El Burgo de Ebro,2432,15.74,20.55
2018,50063,El Buste,72,51.38,05.55
2018,50064,Cabañas de Ebro,498,35.14,10.84
2018,50065,Cabolafuente,32,50.00,0
2018,50066,Cadrete,3891,11.77,22.59
2018,50067,Calatayud,20035,19.51,18.06
2018,50068,Calatorao,2861,21.53,18.17
2018,50069,Calcena,75,37.33,01.33
2018,50070,Calmarza,59,44.06,08.47
2018,50071,Campillo de Aragón,149,34.89,07.38
2018,50072,Carenas,177,42.93,06.77
2018,50073,Cariñena,3276,20.36,18.31
2018,50074,Caspe,9525,19.74,19.75
2018,50075,Castejón de Alarba,92,44.56,02.17
2018,50076,Castejón de las Armas,90,36.66,06.66
2018,50077,Castejón de Valdejasa,221,42.98,04.07
2018,50078,Castiliscar,265,41.88,07.54
2018,50079,Cervera de la Cañada,271,39.11,10.70
2018,50080,Cerveruela,35,28.57,05.71
2018,50081,Cetina,592,33.78,13.34
2018,50082,Cimballa,93,43.01,04.30
