2.0 + 1.0 + 6.0 + 1.0 + 3.0 + 1.0 + 1.0 + 0 + 1.0 + 1.0 + 5.0 + 2.0 + 2.0 + 3.0 + 1.0 + 0 + 3.0 + 0 + 0 + 2.0 + 1.0 + 0 + 1.0 + 0 + 3.0 + 1.0 + 1.0 + 1.0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 +
36.0 + 27.0 + 31.0 + 38.0 + 27.0 + 27.0 + 24.0 + 25.0 + 24.0 + 32.0 + 26.0 + 40.0 + 33.0 + 21.0 + 28.0 + 33.0 + 19.0 + 21.0 + 22.0 + 23.0 + 24.0 + 20.0 + 23.0 + 11.0 + 13.0 + 14.0 + 9.0 + 4.0 + 5.0 + 3.0 + 3.0 + 5.0 + 3.0 + 0 + 1.0 + 0 +
5.0 + 4.0 + 4.0 + 4.0 + 2.0 + 7.0 + 5.0 + 7.0 + 5.0 + 11.0 + 6.0 + 10.0 + 7.0 + 11.0 + 4.0 + 6.0 + 10.0 + 4.0 + 5.0 + 5.0 + 8.0 + 9.0 + 4.0 + 5.0 + 6.0 + 6.0 + 4.0 + 5.0 + 1.0 + 0 + 2.0 + 0 + 1.0 + 1.0 + 0 + 1.0 +
11.0 + 11.0 + 7.0 + 2.0 + 7.0 + 9.0 + 5.0 + 1.0 + 4.0 + 2.0 + 4.0 + 6.0 + 3.0 + 6.0 + 3.0 + 6.0 + 6.0 + 4.0 + 4.0 + 5.0 + 7.0 + 2.0 + 4.0 + 6.0 + 3.0 + 3.0 + 1.0 + 0 + 2.0 + 0 + 1.0 + 0 + 0 + 1.0 + 0 + 0 +
3.0 + 4.0 + 7.0 + 2.0 + 7.0 + 3.0 + 2.0 + 2.0 + 1.0 + 5.0 + 6.0 + 4.0 + 1.0 + 2.0 + 6.0 + 3.0 + 3.0 + 3.0 + 4.0 + 1.0 + 1.0 + 2.0 + 1.0 + 2.0 + 1.0 + 0 + 2.0 + 0 + 0 + 0 + 1.0 + 0 + 0 + 0 + 0 + 0 +
19.0 + 19.0 + 18.0 + 15.0 + 11.0 + 13.0 + 20.0 + 8.0 + 13.0 + 17.0 + 14.0 + 24.0 + 14.0 + 19.0 + 16.0 + 17.0 + 23.0 + 14.0 + 20.0 + 14.0 + 12.0 + 12.0 + 9.0 + 3.0 + 12.0 + 3.0 + 1.0 + 3.0 + 3.0 + 2.0 + 1.0 + 2.0 + 0 + 0 + 0 + 0 +
1.0 + 4.0 + 7.0 + 10.0 + 5.0 + 3.0 + 5.0 + 2.0 + 2.0 + 7.0 + 11.0 + 7.0 + 4.0 + 7.0 + 5.0 + 5.0 + 10.0 + 7.0 + 3.0 + 12.0 + 2.0 + 5.0 + 1.0 + 6.0 + 1.0 + 0 + 3.0 + 0 + 0 + 5.0 + 1.0 + 0 + 0 + 0 + 0 + 0 +
9.0 + 9.0 + 6.0 + 7.0 + 8.0 + 9.0 + 8.0 + 4.0 + 2.0 + 6.0 + 8.0 + 5.0 + 5.0 + 7.0 + 6.0 + 10.0 + 5.0 + 4.0 + 8.0 + 5.0 + 5.0 + 5.0 + 5.0 + 1.0 + 1.0 + 2.0 + 2.0 + 4.0 + 2.0 + 0 + 1.0 + 1.0 + 0 + 0 + 0 + 0 +
3.0 + 3.0 + 2.0 + 3.0 + 1.0 + 3.0 + 0 + 0 + 0 + 2.0 + 1.0 + 2.0 + 4.0 + 0 + 2.0 + 1.0 + 2.0 + 4.0 + 2.0 + 0 + 2.0 + 2.0 + 0 + 3.0 + 2.0 + 2.0 + 0 + 0 + 1.0 + 0 + 0 + 0 + 0 + 1.0 + 0 + 0 +
4.0 + 4.0 + 2.0 + 0 + 2.0 + 1.0 + 4.0 + 0 + 1.0 + 0 + 2.0 + 3.0 + 3.0 + 2.0 + 0 + 2.0 + 2.0 + 4.0 + 2.0 + 0 + 3.0 + 0 + 0 + 0 + 0 + 0 + 1.0 + 1.0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 +
2.0 + 2.0 + 3.0 + 4.0 + 4.0 + 7.0 + 7.0 + 4.0 + 3.0 + 2.0 + 8.0 + 2.0 + 8.0 + 4.0 + 6.0 + 8.0 + 9.0 + 1.0 + 4.0 + 4.0 + 7.0 + 0 + 4.0 + 4.0 + 0 + 0 + 0 + 2.0 + 0 + 1.0 + 1.0 + 0 + 0 + 0 + 0 + 0 +
3.0 + 1.0 + 5.0 + 1.0 + 1.0 + 1.0 + 5.0 + 0 + 1.0 + 1.0 + 1.0 + 0 + 3.0 + 1.0 + 3.0 + 2.0 + 2.0 + 2.0 + 1.0 + 1.0 + 0 + 0 + 1.0 + 0 + 0 + 1.0 + 0 + 1.0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 1.0 +
0 + 3.0 + 1.0 + 2.0 + 1.0 + 1.0 + 2.0 + 1.0 + 0 + 0 + 0 + 1.0 + 2.0 + 2.0 + 2.0 + 0 + 2.0 + 0 + 0 + 0 + 0 + 0 + 1.0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 +
13.0 + 16.0 + 16.0 + 12.0 + 12.0 + 11.0 + 11.0 + 8.0 + 9.0 + 12.0 + 18.0 + 17.0 + 16.0 + 17.0 + 15.0 + 14.0 + 6.0 + 16.0 + 18.0 + 15.0 + 8.0 + 7.0 + 10.0 + 14.0 + 6.0 + 4.0 + 8.0 + 4.0 + 1.0 + 1.0 + 1.0 + 4.0 + 1.0 + 1.0 + 2.0 + 0 +
3.0 + 0 + 1.0 + 3.0 + 4.0 + 1.0 + 0 + 1.0 + 2.0 + 4.0 + 1.0 + 2.0 + 2.0 + 3.0 + 2.0 + 3.0 + 3.0 + 2.0 + 5.0 + 1.0 + 1.0 + 4.0 + 1.0 + 0 + 2.0 + 4.0 + 1.0 + 3.0 + 0 + 1.0 + 1.0 + 0 + 0 + 0 + 0 + 0 +
4.0 + 2.0 + 4.0 + 2.0 + 1.0 + 1.0 + 1.0 + 2.0 + 3.0 + 2.0 + 4.0 + 2.0 + 1.0 + 5.0 + 2.0 + 7.0 + 3.0 + 1.0 + 7.0 + 0 + 3.0 + 3.0 + 1.0 + 0 + 2.0 + 2.0 + 2.0 + 0 + 1.0 + 0 + 2.0 + 0 + 0 + 0 + 0 + 0 +
1.0 + 0 + 2.0 + 3.0 + 2.0 + 2.0 + 2.0 + 1.0 + 5.0 + 1.0 + 1.0 + 5.0 + 4.0 + 4.0 + 1.0 + 1.0 + 0 + 4.0 + 5.0 + 1.0 + 2.0 + 1.0 + 1.0 + 1.0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 1.0 + 0 + 1.0 + 0 +
2.0 + 2.0 + 2.0 + 2.0 + 5.0 + 2.0 + 1.0 + 0 + 1.0 + 2.0 + 3.0 + 1.0 + 1.0 + 1.0 + 1.0 + 2.0 + 1.0 + 0 + 0 + 0 + 3.0 + 0 + 0 + 2.0 + 2.0 + 2.0 + 1.0 + 1.0 + 1.0 + 0 + 1.0 + 1.0 + 0 + 1.0 + 1.0 + 1.0 +
